Type,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,inning_topbot,Ump_HP,Ump_Nation,Ump_Continent,Ump_Birth,Ump_year,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,delta_pitcher_run_exp,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
ball-ball,SI,3/10/2026,93.9,1.74,6.06,"Horwitz, Spencer",687462,820853,ball,12,Ball,F,L,L,NED,ISR,B,0,0,1.25,0.91,0.483904162,4.175524598,0,1,Top,Shane Livensparger,USA,North America,1984,4,-6.132119579,-136.4776574,-0.963635977,17.05238974,33.62442672,-20.93210305,3.133,1.581,94.8,1887,7.2,788102,53.34,1,1,0,0,0,0,0,0,0,0,147,-0.004,0.058,-0.058,0,0,0.5,0.5,20,28,21,29,1.71,1.25,1.25
ball-ball,CH,3/10/2026,83.5,-3.06,5.36,"Mervis, Matt",670223,609044,ball,13,Ball,F,L,R,NED,ISR,B,0,0,-1.11,-0.31,-1.720649079,2.406560147,2,6,Top,Shane Livensparger,USA,North America,1984,4,5.267652075,-121.5526442,0.464066722,-12.05194321,24.03146563,-35.56266509,3.321,1.676,83.5,1301,6.3,788102,54.21,46,1,2,4,4,2,4,2,4,2,251,-0.002,0.039,-0.039,-2,2,0.226,0.774,32,28,33,28,3.58,1.11,-1.11
ball-ball,CH,3/10/2026,78,-1.54,6.56,"Mervis, Matt",670223,463017,ball,11,Ball,F,L,R,NED,ISR,B,0,0,-0.9,1.21,-1.808042317,2.643074897,2,2,Top,Shane Livensparger,USA,North America,1984,4,1.084403988,-113.6118753,-3.514589952,-7.950879926,22.04762369,-21.25749416,3.321,1.676,76.8,1537,5.5,788102,55.01,14,1,2,1,1,2,1,2,1,2,218,-0.001,0.029,-0.029,1,-1,0.621,0.379,39,28,39,28,2.54,0.9,-0.9
ball-ball,FC,3/10/2026,90.9,-1.95,5.87,"Witt Jr., Bobby",677951,547179,ball,12,Ball,F,R,R,USA,ITA,B,0,0,0.06,0.5,1.081388713,2.467573747,0,1,Bot,Roberto Ortiz,PUR,North America,1984,5,7.324268706,-132.2804626,-3.5321226,-0.675453674,25.71248968,-25.76557106,3.238,1.634,90.8,2567,6,788119,54.48,4,1,0,0,0,0,0,0,0,0,216,0.003,0.058,-0.058,0,0,0.548,0.548,34,26,34,26,2.24,-0.06,-0.06
ball-ball,CH,3/10/2026,71.7,-3.42,4.21,"Turang, Brice",668930,689690,ball,14,Ball,F,L,R,USA,ITA,B,0,0,-1.79,0.28,1.031864941,0.814726505,2,7,Bot,Roberto Ortiz,PUR,North America,1984,5,11.98606292,-103.6336762,0.762686249,-15.05180112,19.2963144,-30.61890701,3.21,1.62,72.6,1965,7.6,788119,52.92,57,1,1,8,1,8,8,1,1,8,276,0,0.041,-0.041,-7,-7,0.006,0.006,28,26,28,27,4.26,1.79,-1.79
ball-ball,FF,3/10/2026,96.2,-2.23,5.42,"Crow-Armstrong, Pete",691718,656186,ball,12,Ball,F,L,R,USA,ITA,B,0,0,-0.91,1.24,0.362722955,4.762966288,2,5,Bot,Roberto Ortiz,PUR,North America,1984,5,8.86381151,-139.7350476,1.151115233,-13.94800452,33.31770352,-16.51223064,3.202,1.616,,,,788119,54.13,40,1,0,5,0,5,5,0,0,5,,0.001,0.045,-0.045,-5,-5,0.052,0.052,33,24,34,24,1.24,0.91,-0.91
ball-ball,FC,3/10/2026,88.9,-0.01,5.73,"Sato, Teruaki",831664,807156,ball,12,Ball,F,L,R,JPN,CZE,B,1,0,0.04,0.72,0.143100541,3.920475042,2,5,Bot,Ryan Additon,USA,North America,1985,5,0.302337506,-129.4936918,0.227750078,0.360352516,26.96091956,-24.30636148,3.299,1.665,89,1981,6.3,788111,54.2,37,2,0,0,0,0,0,0,0,0,191,0.003,0.04,-0.04,0,0,0.548,0.548,22,27,23,27,2.16,-0.04,0.04
ball-ball,CH,3/10/2026,81.3,1.51,5.93,"Maki, Shugo",808957,689650,ball,13,Ball,F,R,L,JPN,CZE,B,0,0,0.84,0.63,-1.940943284,1.400977527,2,8,Bot,Ryan Additon,USA,North America,1985,5,-9.325062163,-117.9377642,-4.425246344,9.730521952,25.35745841,-25.58389673,3.121,1.575,81.4,1463,6.8,788111,53.66,64,1,4,0,4,0,0,4,4,0,129,0.001,0.047,-0.047,4,4,0.989,0.989,33,28,34,28,2.88,0.84,-0.84
ball-ball,FF,3/10/2026,92.5,-2.03,5.76,"Krejcirik, Marek",807163,838348,ball,11,Ball,F,L,R,JPN,CZE,B,0,0,-1.14,1.26,-1.402122746,4.135500408,0,9,Top,Ryan Additon,USA,North America,1985,5,4.126388481,-134.6568751,-0.971238079,-14.78723326,29.92161549,-16.88177132,3.076,1.553,92.5,2271,6.3,788111,54.17,68,1,9,0,0,9,0,9,0,9,223,0,0.058,-0.058,9,-9,0.999,0.001,27,25,27,25,1.41,1.14,-1.14
ball-ball,FS,3/10/2026,85.8,-1.92,5.85,"Albies, Ozzie",645277,810897,ball,13,Ball,F,L,R,NED,ISR,B,0,0,-0.51,-0.52,-1.036684113,1.831797597,0,4,Bot,Shane Livensparger,USA,North America,1984,4,3.084765031,-124.9145925,-1.903634514,-5.957533139,26.02812151,-37.44457525,2.985,1.506,85,1051,5.8,788102,54.71,28,1,2,1,2,1,1,2,2,1,277,0.003,0.058,-0.058,1,1,0.685,0.685,26,29,27,29,3.62,0.51,-0.51
ball-ball,SI,3/10/2026,91.8,2.82,5.69,"Schwarber, Kyle",656941,686747,ball,11,Ball,F,L,L,USA,ITA,B,0,0,1.61,0.48,-1.44090268,2.404793312,2,6,Bot,Roberto Ortiz,PUR,North America,1984,5,-14.12491895,-132.8735887,-3.226767646,22.09069596,28.99336004,-25.97011775,3.181,1.605,,,,788119,54.13,50,1,1,8,1,8,8,1,1,8,,0,0.045,-0.045,-7,-7,0.01,0.01,28,33,28,33,2.26,1.61,1.61
ball-ball,CH,3/9/2026,77.6,1.47,6.29,"Koperniak, Matt",689288,807344,ball,13,Ball,F,L,L,GBR,BRA,B,0,0,1.05,1.07,-0.81518406,1.153928372,2,4,Bot,Brennan Miller,USA,North America,1991,3.5,-6.808126228,-112.7045886,-5.781692697,10.23186542,20.79502313,-22.17925322,3.216,1.623,77.9,1339,6.6,788123,53.86,29,1,0,0,0,0,0,0,0,0,122,0.001,0.028,-0.028,0,0,0.548,0.548,22,28,23,28,2.73,1.05,1.05
ball-ball,CH,3/9/2026,77.4,1.59,6.26,"Johnson, Ivan",671155,807344,ball,14,Ball,F,R,L,GBR,BRA,B,0,2,1.08,1.12,1.088355214,1.338690292,1,4,Bot,Brennan Miller,USA,North America,1991,3.5,-3.09894008,-112.5860593,-5.391435994,9.782527656,21.22043782,-21.86333092,3.2,1.615,77.9,1321,6.7,788123,53.77,28,3,0,0,0,0,0,0,0,0,118,0.004,0.021,-0.021,0,0,0.57,0.57,22,27,23,28,2.7,1.08,-1.08
ball-ball,SL,3/9/2026,79.9,2.11,5.54,"Ramos, Jose",682947,622426,ball,12,Ball,F,R,L,PAN,COL,B,2,2,-1.38,-0.21,1.947871103,4.324298306,2,4,Bot,Chan-Jung Chang,TPE,Asia,1969,29,2.331211178,-116.159108,4.729534469,-12.91678283,23.59973713,-35.26568874,3.202,1.616,80.3,2814,6.8,788133,53.66,27,6,0,0,0,0,0,0,0,0,309,0.003,0.1,-0.1,0,0,0.512,0.512,31,25,31,25,3.81,-1.38,1.38
ball-ball,CU,3/9/2026,69.1,-1.24,5.43,"Rodriguez, Reynaldo",471906,502179,ball,13,Ball,F,R,R,PAN,COL,B,0,2,0.87,-1.2,-0.270131105,0.27586665,0,5,Top,Chan-Jung Chang,TPE,Asia,1969,29,0.381433884,-100.5959291,0.339920159,5.793312738,18.59469443,-40.5245456,3.21,1.62,69.8,3011,7.1,788133,53.39,28,3,0,0,0,0,0,0,0,0,36,-0.002,0.034,-0.034,0,0,0.51,0.49,39,39,39,40,6.02,-0.87,-0.87
ball-ball,FF,3/9/2026,92.7,1.92,5.34,"Ramos, Jose",682947,622426,ball,12,Ball,F,R,L,PAN,COL,B,1,2,0.73,1.34,0.320996189,4.261815733,2,4,Bot,Chan-Jung Chang,TPE,Asia,1969,29,-5.69748819,-134.790474,0.25551484,10.18851127,32.21744514,-16.22529674,3.202,1.616,93,2382,6.7,788133,53.77,27,5,0,0,0,0,0,0,0,0,144,0.002,0.047,-0.047,0,0,0.51,0.51,31,25,31,25,1.34,0.73,-0.73
ball-ball,CH,3/9/2026,81.8,3.31,6.24,"Kim, Do Yeong",838339,649144,ball,13,Ball,F,R,L,AUS,KOR,B,1,0,1.04,0.75,-0.315878788,0.419965657,2,6,Top,David Rackley,USA,North America,1981,12,-9.97828676,-118.5971255,-7.610392149,11.72373468,23.0952866,-23.74363837,3.21,1.62,80.7,1735,5.8,788112,54.69,46,2,1,5,5,1,5,1,5,1,124,-0.002,0.04,-0.04,-4,4,0.086,0.914,29,22,29,23,2.69,1.04,-1.04
ball-ball,FF,3/9/2026,97.2,-3.29,5.81,"Aranda, Jonathan",666018,694973,ball,11,Ball,F,L,R,USA,MEX,B,2,0,-0.84,1.37,-0.421735391,3.60625019,1,4,Top,Adrian Johnson,USA,North America,1975,17,9.63441233,-141.1941979,-3.383635219,-13.55461313,33.68776178,-13.29074598,3.189,1.61,97.7,2385,6.8,788122,53.71,30,3,5,0,0,5,0,5,0,5,235,-0.004,0.161,-0.161,5,-5,0.929,0.071,24,28,24,28,1.06,0.84,-0.84
ball-ball,CH,3/9/2026,75.5,1.53,6.28,"Murray, BJ",681230,807344,ball,12,Ball,F,R,L,GBR,BRA,B,1,1,0.84,1,1.663624535,2.784577981,1,4,Bot,Brennan Miller,USA,North America,1991,3.5,-1.250509005,-110.0409196,-1.766180765,7.041514316,19.55126685,-23.98050439,3.158,1.594,76.1,1325,6.6,788123,53.86,27,3,0,0,0,0,0,0,0,0,126,0.004,0.076,-0.076,0,0,0.532,0.532,22,26,23,26,2.99,0.84,-0.84
ball-ball,FF,3/9/2026,86.7,2.9,6.36,"Kim, Do Yeong",838339,649144,ball,11,Ball,F,R,L,AUS,KOR,B,0,0,0.32,1.91,-1.420663545,2.886476321,2,6,Top,David Rackley,USA,North America,1981,12,-10.74492223,-125.6525403,-5.702743546,5.763394823,27.50661957,-10.99918763,3.21,1.62,85.5,2247,5.9,788112,54.57,46,1,1,5,5,1,5,1,5,1,153,0,0.029,-0.029,-4,4,0.086,0.914,29,22,29,23,1.17,0.32,-0.32
ball-ball,CH,3/9/2026,81.4,1.84,5.5,"Ramos, Jose",682947,622426,ball,13,Ball,F,R,L,PAN,COL,B,0,0,1.13,0.34,-0.235112618,0.60786644,2,4,Bot,Chan-Jung Chang,TPE,Asia,1969,29,-6.803266785,-118.295765,-4.792396414,11.88536481,21.1977979,-28.30321321,3.202,1.616,81.6,1513,6.4,788133,54.14,27,1,0,0,0,0,0,0,0,0,133,0.001,0.045,-0.045,0,0,0.513,0.513,31,25,31,25,3.09,1.13,-1.13
ball-ball,SI,3/9/2026,93.9,-1.29,5.73,"Levenson, Zach",804241,678394,ball,13,Ball,F,R,R,ISR,DOM,B,0,0,-1.53,0.58,-0.239906405,0.864151458,2,5,Bot,Quinn Wolcott,USA,North America,1986,11.5,6.13784572,-136.2804005,-7.820774896,-20.3761009,34.31225419,-23.23125,3.21,1.62,93.5,2080,6.6,788103,53.94,37,1,1,6,1,6,6,1,1,6,217,0.001,0.045,-0.045,-5,-5,0.052,0.052,27,24,27,24,2.05,1.53,1.53
ball-ball,ST,3/9/2026,83.2,-3.29,5.72,"Aranda, Jonathan",666018,694973,ball,11,Ball,F,L,R,USA,MEX,B,1,0,0.68,0.8,-0.668029858,3.407998555,1,4,Top,Adrian Johnson,USA,North America,1975,17,4.62101594,-121.0510128,-0.242140806,5.710074573,24.37629197,-24.46814164,3.189,1.61,83.7,2429,6.7,788122,53.79,30,2,5,0,0,5,0,5,0,5,88,-0.003,0.093,-0.093,5,-5,0.932,0.068,24,28,24,28,2.5,-0.68,0.68
ball-ball,FF,3/9/2026,94.3,2.24,5.76,"Arozarena, Randy",668227,571510,ball,12,Ball,F,R,L,USA,MEX,B,1,2,0.92,1.3,0.301683087,4.369664369,0,8,Top,Adrian Johnson,USA,North America,1975,17,-7.027415338,-137.1637888,-0.680410399,13.19424283,32.29508557,-15.86863205,3.128,1.579,93.8,2414,6.2,788122,54.33,64,4,5,3,3,5,3,5,3,5,134,-0.005,0.062,-0.062,2,-2,0.871,0.129,35,31,35,31,1.28,0.92,-0.92
ball-ball,SL,3/9/2026,83.1,3,6.4,"Shin, Min Jae",823593,649144,ball,11,Ball,F,L,L,AUS,KOR,B,1,1,0.41,1.23,-1.7617214,2.618522959,1,6,Top,David Rackley,USA,North America,1981,12,-11.41808104,-120.5128812,-4.38900294,6.018153753,21.29206903,-19.4811938,2.987,1.508,82.4,2273,5.8,788112,54.72,45,3,1,5,5,1,5,1,5,1,177,-0.001,0.054,-0.054,-4,4,0.076,0.924,29,30,29,30,2.07,0.41,0.41
ball-ball,FF,3/9/2026,96.1,-3.28,5.84,"Aranda, Jonathan",666018,694973,ball,11,Ball,F,L,R,USA,MEX,B,0,0,-0.91,1.16,-1.596679976,2.919284778,1,4,Top,Adrian Johnson,USA,North America,1975,17,6.550170052,-139.6887961,-4.616346971,-13.42376808,32.95815934,-16.09703233,3.189,1.61,96.5,2108,6.7,788122,53.82,30,1,5,0,0,5,0,5,0,5,236,-0.002,0.055,-0.055,5,-5,0.934,0.066,24,28,24,28,1.32,0.91,-0.91
ball-ball,CH,3/9/2026,89.6,2.05,5.26,"Bernal, Leo",699024,622426,ball,13,Ball,F,R,L,PAN,COL,B,2,2,1.12,0.27,-1.668708328,1.634201964,1,4,Bot,Chan-Jung Chang,TPE,Asia,1969,29,-11.49997674,-130.0042402,-3.343939836,15.01965353,24.89329149,-28.64727555,3.203,1.617,90,2137,6.5,788133,53.97,26,6,0,0,0,0,0,0,0,0,137,0.006,0.135,-0.135,0,0,0.531,0.531,31,22,31,22,2.57,1.12,-1.12
ball-ball,FF,3/9/2026,94.7,2.12,5.7,"Arozarena, Randy",668227,571510,ball,12,Ball,F,R,L,USA,MEX,B,0,2,0.9,1.22,0.5772757,3.857332246,0,8,Top,Adrian Johnson,USA,North America,1975,17,-6.010048652,-137.7702605,-1.711609867,12.84319003,32.35647585,-16.51609583,3.128,1.579,94.2,2274,6.2,788122,54.34,64,3,5,3,3,5,3,5,3,5,129,-0.004,0.034,-0.034,2,-2,0.875,0.125,35,31,35,31,1.33,0.9,-0.9
ball-ball,FF,3/9/2026,93.4,-1.39,5.74,"Stubbs, Garrett",596117,678394,ball,12,Ball,F,L,R,ISR,DOM,B,1,2,-0.27,0.89,0.080746458,3.857130759,1,5,Bot,Quinn Wolcott,USA,North America,1986,11.5,4.336247925,-135.8807235,-0.883359286,-4.28246772,31.7156322,-21.22675599,3.073,1.551,93.2,1878,6.3,788103,54.17,36,4,1,6,1,6,6,1,1,6,219,0.001,0.057,-0.057,-5,-5,0.059,0.059,27,33,27,33,1.74,0.27,-0.27
ball-ball,CU,3/9/2026,69.1,-1.34,5.47,"Diaz, Jordan",672478,502179,ball,13,Ball,F,R,R,PAN,COL,B,2,2,1.64,-1.22,-0.47335132,0.905751338,2,4,Top,Chan-Jung Chang,TPE,Asia,1969,29,-1.118195423,-100.4186034,1.571839104,11.1510632,19.90784416,-40.86593024,3.24,1.54,68.7,3014,6.5,788133,53.95,24,6,0,0,0,0,0,0,0,0,38,-0.003,0.1,-0.1,0,0,0.548,0.452,39,25,39,26,6.1,-1.64,-1.64
ball-ball,FF,3/9/2026,87.7,2.7,5.55,"Su?rez, Eugenio",553993,807358,ball,12,Ball,F,R,L,NCA,VEN,B,0,1,1.09,1.12,1.356435402,2.840374678,2,4,Top,Paul Clemons,USA,North America,1989,3,-5.477716758,-127.5212262,-2.496651093,13.05145418,30.19376446,-19.70893688,3.171,1.6,86.9,2072,6.2,788099,54.31,24,2,0,2,2,0,2,0,2,0,136,-0.001,0.039,-0.039,-2,2,0.303,0.697,27,34,27,35,1.88,1.09,-1.09
ball-ball,SL,3/9/2026,82.5,-3.06,6.2,"Mascai, Victor",678685,694341,ball,13,Ball,F,L,R,GBR,BRA,B,2,1,0.48,-0.07,-0.213963877,1.174637871,1,4,Top,Brennan Miller,USA,North America,1991,3.5,5.444507126,-120.0219895,-4.462940807,3.434428338,25.68468791,-32.06584724,3.299,1.665,82.4,2227,6.5,788123,54.03,25,4,0,0,0,0,0,0,0,0,55,-0.014,0.11,-0.11,0,0,0.493,0.507,27,25,28,25,3.44,-0.48,0.48
ball-ball,CH,3/9/2026,88,-1.46,5.63,"Stubbs, Garrett",596117,678394,ball,11,Ball,F,L,R,ISR,DOM,B,0,2,-1.34,0.31,-1.776828456,2.419674858,1,5,Bot,Quinn Wolcott,USA,North America,1986,11.5,2.070265789,-128.1425,-2.089467522,-15.0910945,29.00020039,-28.55343177,3.073,1.551,87.9,1635,6.4,788103,54.08,36,3,1,6,1,6,6,1,1,6,234,0.001,0.033,-0.033,-5,-5,0.058,0.058,27,33,27,33,2.65,1.34,-1.34
ball-ball,CH,3/9/2026,76.5,1.46,6.3,"Chisholm Jr., Jazz",665862,807344,ball,11,Ball,F,L,L,GBR,BRA,B,2,1,0.59,1.12,-0.875622519,2.491103329,0,4,Bot,Brennan Miller,USA,North America,1991,3.5,-5.986839582,-111.3223636,-2.883195562,5.946603253,19.17010917,-22.55972356,3.156,1.593,77.2,1291,6.7,788123,53.83,26,4,0,0,0,0,0,0,0,0,132,0.013,0.159,-0.159,0,0,0.564,0.564,22,28,23,28,2.77,0.59,0.59
ball-ball,CH,3/9/2026,88.2,-2.7,5.72,"Arozarena, Randy",668227,694973,ball,14,Ball,F,R,R,USA,MEX,B,2,2,-1.36,0.39,1.866455716,0.815476045,0,4,Top,Adrian Johnson,USA,North America,1975,17,13.86867603,-127.552804,-6.328831109,-17.8169049,27.18199965,-26.63307295,3.128,1.579,88.3,1826,6.8,788122,53.75,29,5,5,0,0,5,0,5,0,5,256,-0.004,0.145,-0.145,5,-5,0.922,0.078,24,31,24,31,2.58,1.36,1.36
ball-ball,FF,3/9/2026,86.8,-1,5.71,"Diaz, Jordan",672478,502179,ball,12,Ball,F,R,R,PAN,COL,B,1,2,0.25,1.47,0.174209781,3.935420166,2,4,Top,Chan-Jung Chang,TPE,Asia,1969,29,2.283358384,-126.4407608,-0.971369501,2.261948157,25.49110146,-16.38919736,3.24,1.54,88.1,2205,7,788133,53.51,24,4,0,0,0,0,0,0,0,0,198,-0.002,0.047,-0.047,0,0,0.55,0.45,39,25,39,26,1.54,-0.25,-0.25
ball-ball,FS,3/9/2026,82.6,-2.9,6.27,"Mascai, Victor",678685,694341,ball,13,Ball,F,L,R,GBR,BRA,B,1,1,-1.08,0.02,-1.655188676,2.087166509,1,4,Top,Brennan Miller,USA,North America,1991,3.5,4.966000989,-120.2484131,-2.831182169,-11.4805369,23.70042981,-31.6271686,3.299,1.665,83,834,6.5,788123,53.96,25,3,0,0,0,0,0,0,0,0,227,-0.006,0.062,-0.062,0,0,0.499,0.501,27,25,28,25,3.32,1.08,-1.08
ball-ball,SL,3/9/2026,83.5,-2.63,5.58,"Martinez, Ariel",673508,695684,ball,14,Ball,F,R,R,PUR,CUB,B,1,1,0.92,0.27,1.51430403,1.054365131,2,3,Top,Vic Carapazza,USA,North America,1979,14,7.633560555,-121.334412,-4.284674457,7.544907703,24.41789231,-28.82017845,3.299,1.665,84.1,2486,6.8,788131,53.69,25,3,3,0,0,3,0,3,0,3,53,-0.005,0.046,-0.046,3,-3,0.801,0.199,22,30,23,30,3.01,-0.92,-0.92
ball-ball,SL,3/9/2026,84.4,-2.41,5.63,"Martinez, Ariel",673508,695684,ball,14,Ball,F,R,R,PUR,CUB,B,0,1,0.94,0.29,1.700774867,1.367143789,2,3,Top,Vic Carapazza,USA,North America,1979,14,7.563937628,-122.6585325,-3.861744508,7.907149835,24.73439381,-28.7104523,3.299,1.665,84.6,2469,6.5,788131,53.99,25,2,3,0,0,3,0,3,0,3,54,-0.004,0.033,-0.033,3,-3,0.805,0.195,22,30,23,30,2.93,-0.94,-0.94
ball-ball,CH,3/9/2026,87.8,2.15,5.31,"Bernal, Leo",699024,622426,ball,13,Ball,F,R,L,PAN,COL,B,1,1,1.17,0.09,-0.988859286,2.233345214,1,4,Bot,Chan-Jung Chang,TPE,Asia,1969,29,-9.957451447,-127.6436664,-1.376922109,14.69165948,23.27457917,-31.06379561,3.203,1.617,88.3,1952,6.4,788133,54.11,26,3,0,0,0,0,0,0,0,0,124,0.004,0.076,-0.076,0,0,0.532,0.532,31,22,31,22,2.84,1.17,-1.17
ball-ball,FC,3/9/2026,82.5,1.74,6.18,"Chisholm Jr., Jazz",665862,807344,ball,13,Ball,F,L,L,GBR,BRA,B,1,0,0.29,0.8,-0.77482554,0.143465608,0,4,Bot,Brennan Miller,USA,North America,1991,3.5,-6.237279287,-119.7864277,-8.536339547,3.937136345,21.7044923,-23.04308335,3.156,1.593,82.9,2156,6.5,788123,53.98,26,2,0,0,0,0,0,0,0,0,159,0.009,0.105,-0.105,0,0,0.564,0.564,22,28,23,28,2.55,0.29,0.29
ball-ball,FF,3/9/2026,86.2,-1.16,5.63,"Diaz, Jordan",672478,502179,ball,11,Ball,F,R,R,PAN,COL,B,0,2,-0.05,1.3,-0.744743565,4.18952407,2,4,Top,Chan-Jung Chang,TPE,Asia,1969,29,1.085543517,-125.6153301,0.266721796,-0.779906892,25.19747651,-18.71051693,3.24,1.54,86.9,2187,6.6,788133,53.87,24,3,0,0,0,0,0,0,0,0,200,-0.002,0.031,-0.031,0,0,0.552,0.448,39,25,39,26,1.76,0.05,0.05
ball-ball,FF,3/9/2026,85.4,2.92,6.3,"Park, Dong Won",673526,649144,ball,11,Ball,F,R,L,AUS,KOR,B,1,1,0.77,1.66,-1.106187791,2.908938845,1,6,Top,David Rackley,USA,North America,1981,12,-10.81777371,-123.7792128,-4.755859751,10.17372752,26.56224484,-14.33281378,3.121,1.575,84.3,2243,5.9,788112,54.56,44,3,1,5,5,1,5,1,5,1,149,-0.001,0.076,-0.076,-4,4,0.089,0.911,29,36,29,36,1.51,0.77,-0.77
ball-ball,FF,3/9/2026,91.5,-2.66,6.34,"Mascai, Victor",678685,694341,ball,13,Ball,F,L,R,GBR,BRA,B,0,0,-0.7,1.57,-0.713661762,0.635378976,1,4,Top,Brennan Miller,USA,North America,1991,3.5,6.389101768,-132.6540557,-11.65631692,-9.692234544,29.142678,-11.20875521,3.299,1.665,91.5,2141,6.6,788123,53.95,25,1,0,0,0,0,0,0,0,0,203,-0.004,0.044,-0.044,0,0,0.497,0.503,27,25,28,25,1.17,0.7,-0.7
ball-ball,FF,3/9/2026,86.3,3.11,6.31,"Park, Dong Won",673526,649144,ball,12,Ball,F,R,L,AUS,KOR,B,0,1,0.82,1.43,0.412648012,3.954250521,1,6,Top,David Rackley,USA,North America,1981,12,-7.960926957,-125.3274638,-2.065341355,10.40093054,28.14463925,-16.98831411,3.121,1.575,85.1,2338,5.9,788112,54.61,44,2,1,5,5,1,5,1,5,1,149,-0.001,0.044,-0.044,-4,4,0.09,0.91,29,36,29,36,1.67,0.82,-0.82
ball-ball,ST,3/9/2026,81.4,-2.61,5.72,"Arozarena, Randy",668227,694973,ball,11,Ball,F,R,R,USA,MEX,B,1,0,1.12,0.79,-1.142305246,4.680842376,0,4,Top,Adrian Johnson,USA,North America,1975,17,1.05802714,-118.4812719,2.876115797,10.39597412,22.51377367,-25.46139362,3.128,1.579,81.9,2552,6.6,788122,53.88,29,2,5,0,0,5,0,5,0,5,86,-0.005,0.105,-0.105,5,-5,0.919,0.081,24,31,24,31,2.64,-1.12,-1.12
ball-ball,FF,3/9/2026,89.9,1.42,6.46,"Chisholm Jr., Jazz",665862,807344,ball,12,Ball,F,L,L,GBR,BRA,B,0,0,0.76,1.04,1.407733716,3.255785076,0,4,Bot,Brennan Miller,USA,North America,1991,3.5,-1.695821627,-130.9243234,-4.018943286,9.146491169,27.85446535,-19.5396536,3.156,1.593,90.3,1649,6.5,788123,54,26,1,0,0,0,0,0,0,0,0,146,0.004,0.058,-0.058,0,0,0.56,0.56,22,28,23,28,1.77,0.76,0.76
ball-ball,ST,3/9/2026,80,-1.61,5.27,"Ram?rez, Agust?n",682663,805374,ball,12,Ball,F,R,R,ISR,DOM,B,1,2,1.32,-0.62,0.049028018,3.566933006,0,8,Top,Quinn Wolcott,USA,North America,1986,11.5,1.08406,-116.3308173,4.410999436,11.59075671,25.10193654,-38.95971421,3.257,1.644,79.3,3010,6.1,788103,54.35,59,5,1,8,8,1,8,1,8,1,57,0,0.065,-0.065,-7,7,0.002,0.998,26,24,26,25,4.23,-1.32,-1.32
ball-ball,SI,3/9/2026,93.6,-2.66,5.71,"Moncada, Yo?n",660162,695684,ball,11,Yo?n Moncada walks.,F,L,R,PUR,CUB,B,3,1,-1.43,0.5,-1.273025993,2.463748559,2,3,Top,Vic Carapazza,USA,North America,1979,14,6.748869418,-136.239031,-3.577698924,-19.24923373,29.30564735,-25.34479635,3.217,1.624,93.9,2009,6.4,788131,54.1,24,5,3,0,0,3,0,3,0,3,237,-0.007,0.073,-0.073,3,-3,0.806,0.194,22,31,23,31,2.09,1.43,-1.43
ball-ball,ST,3/9/2026,82.4,-2.77,6.24,"Reginatto, Leonardo",553891,694341,ball,14,Leonardo Reginatto walks.,F,R,R,GBR,BRA,B,3,2,0.95,0.23,1.350101971,1.664409659,1,4,Top,Brennan Miller,USA,North America,1991,3.5,7.412696362,-119.7676451,-4.035187344,7.517484802,25.5372857,-29.32312882,3.299,1.665,82.8,2197,6.8,788123,53.68,24,6,0,0,0,0,0,0,0,0,57,-0.025,0.356,-0.356,0,0,0.522,0.478,27,36,28,36,3.16,-0.95,-0.95
ball-ball,SI,3/9/2026,95.3,-2.76,5.82,"Arozarena, Randy",668227,694973,ball,11,Ball,F,R,R,USA,MEX,B,0,0,-1.49,0.8,-1.185341723,3.194504619,0,4,Top,Adrian Johnson,USA,North America,1975,17,7.519848783,-138.5242238,-2.900482065,-20.86374058,31.4327442,-21.42954722,3.128,1.579,95.7,2258,6.6,788122,53.86,29,1,5,0,0,5,0,5,0,5,235,-0.002,0.058,-0.058,5,-5,0.921,0.079,24,31,24,31,1.72,1.49,1.49
ball-ball,SI,3/9/2026,94.3,-2.69,5.6,"Moncada, Yo?n",660162,695684,ball,11,Ball,F,L,R,PUR,CUB,B,2,1,-1.6,0.36,-0.97824188,3.358735207,2,3,Top,Vic Carapazza,USA,North America,1979,14,8.047526144,-137.1451131,-0.745698641,-21.93878365,31.29324975,-27.64502727,3.217,1.624,94.7,2003,6.6,788131,53.89,24,4,3,0,0,3,0,3,0,3,235,-0.004,0.055,-0.055,3,-3,0.81,0.19,22,31,23,31,2.21,1.6,-1.6
